,Overall,KM3_1,KM3_2,KM3_3,KM4_1,KM4_2,KM4_3,KM4_4,KM5_1,KM5_2,KM5_3,KM5_4,KM5_5,KM6_1,KM6_2,KM6_3,KM6_4,KM6_5,KM6_6,KM7_1,KM7_2,KM7_3,KM7_4,KM7_5,KM7_6,KM7_7,KM8_1,KM8_2,KM8_3,KM8_4,KM8_5,KM8_6,KM8_7,KM8_8
CASH_ADVANCE_FREQUENCY,0.13401668815642637,0.0705579742665979,0.43960274213836525,0.05826163749183539,0.07662366432584276,0.039066714513556644,0.4627982592301641,0.11312714778067855,0.04021610894141834,0.07367395382395388,0.03626999179716634,0.48027339272727165,0.1567358287884013,0.03755500770359504,0.1935853584000001,0.029754368290668878,0.478956840155945,0.14796332285502933,0.07378187841945293,0.04693109150943399,0.0381027741273101,0.48024554375614514,0.14911047460197097,0.1954458260162603,0.07897409791666668,0.029872733221476513,0.15062692068965491,0.49154856878850073,0.09651570238095235,0.03691057928118395,0.07910087912087911,0.047061510416666695,0.03007457601351352,0.19672534042553205
CASH_ADVANCE_TRX,3.0793296089385476,1.2358895179276033,11.559119496855345,1.2913128674069236,1.9353932584269662,0.7084529505582137,12.655145326001572,2.049869451697128,0.7276464542651593,1.8095238095238095,0.7188665175242357,13.512727272727274,2.883672764929237,0.7057960381511372,3.1824,0.6284062758051198,13.769005847953217,2.7991863905325443,1.8085106382978724,0.8575471698113207,0.7356262833675564,13.83284169124877,2.816906747536012,3.2195121951219514,2.0479166666666666,0.6342281879194631,2.846743295019157,14.130390143737166,2.7142857142857144,0.6997885835095138,2.0703296703296705,0.8607954545454546,0.6385135135135135,3.2405891980360066
PURCHASES_TRX,14.151385474860328,7.658946646079945,5.70125786163522,47.645917700849175,65.8221769662923,19.319141945773524,6.558523173605656,2.839425587467363,20.106718054128127,66.33966810966828,4.228187919463087,7.336363636363636,2.8477735588539868,21.1843396918562,5.2,4.418662262592899,7.560428849902534,3.0059171597633134,67.50819148936188,28.726433962264156,18.911190965092402,7.523107177974435,2.7289613343442003,5.060162601626017,75.53725000000021,4.317114093959732,2.7942528735632184,7.516427104722792,15.351309523809526,18.703488372093023,76.84364835164855,29.29642045454546,4.294763513513513,5.055646481178396
CREDIT_LIMIT,4474.254539811508,3203.743967379997,6639.751286449685,7062.540822991509,8460.042134831461,3933.3078955422643,7242.972934371564,3255.823324630026,3977.3098577413493,8474.386724386724,3654.4664015242356,7657.367768595455,3188.925325049016,4142.570607023844,2387.552,3828.1085420677123,7865.355307461014,3294.5327909271446,8579.939209726444,5922.903087478301,3464.384087279261,7876.35648520649,3289.354308819939,2377.756097560976,8924.791666666666,3845.544835942953,3319.987228608046,7893.895837222793,4332.440476190476,3469.566702970402,8975.934065934065,5969.817493112689,3846.1904091587835,2383.6661211129294
PAYMENTS,1649.420363976092,861.9095682262117,2867.323119499623,3382.8854502880513,5019.04424808595,1143.971708729825,3183.5801229194017,926.815652638224,1183.5195268174032,5036.417188891193,998.6464287912025,3456.2485880858153,923.8257987576808,1251.390910923331,571.7269709632008,1083.9580861491354,3589.6763873964896,962.0662457781065,5161.9801416072905,1993.9405716556607,1052.3344826981538,3604.511823808061,956.0104109257005,563.2207606097569,5784.1762314825,1080.753633904029,957.6566280341004,3671.387595356055,1703.4432452321428,1028.8669989275913,5916.504997374942,2020.2525324583341,1084.2232678425696,564.6240853731597
MINIMUM_PAYMENTS,751.3929895262241,466.62765799916866,1571.555080811971,983.81584538965,1401.5457317558387,525.0534582871579,1704.709091870255,498.9371878769005,528.4406497573001,1425.5488912556382,173.541701226934,1733.626142853778,709.2977008952558,557.9559957057656,323.57426139404794,179.44119475771976,1813.4396824016724,745.7876625589778,1378.7888420051036,464.94792088117003,653.2980008984581,1819.9793308113228,725.5017080267916,318.8316654329755,1635.5553018924118,179.15893457724718,588.0153165699618,1600.7459966098154,7139.239370350607,460.49988045676605,1449.3803256190756,473.44144345458363,179.52692809888404,308.47888045381336
PRC_FULL_PAYMENT,0.1537146484916212,0.15153580065191366,0.03527313018867931,0.2850160973220118,0.27069154634831466,0.26897752982456197,0.035744842105263214,0.07683184934725858,0.267702549503255,0.2670260418470419,0.22915337583892617,0.038201836363636395,0.020696105626510274,0.26274743176815896,0.15970094880000002,0.23580885218827427,0.0372053313840156,0.020212218934911336,0.2755204893617022,0.2813963330188682,0.25119811139630405,0.037550970501474934,0.02016265617892352,0.15727835609756097,0.25179703333333336,0.23419872567114103,0.02015305632183917,0.0393207679671458,0.013979065476190478,0.26102111945031725,0.2614761912087913,0.2827770653409093,0.23353377280405416,0.1547619034369885
TENURE,11.51731843575419,11.447761194029852,11.383018867924529,11.921619856303069,11.928370786516854,11.564593301435407,11.395915161036921,11.442558746736292,11.577937649880097,11.926406926406926,11.266219239373601,11.395454545454545,11.52088367276493,11.877476155539252,7.2432,11.781998348472337,11.618908382066277,11.88387573964497,11.933130699088146,11.876415094339622,11.8588295687885,11.615535889872174,11.884003032600456,7.222764227642276,11.964583333333334,11.78020134228188,11.882758620689655,11.606776180698152,11.875,11.849894291754756,11.962637362637363,11.880681818181818,11.780405405405405,7.216039279869067
cluster_3,0.5197765363128491,0.0,1.0,2.0,1.9943820224719102,0.5279106858054227,1.00471327572663,0.07780678851174935,0.5765673175745119,1.997113997113997,0.014168530947054437,1.009090909090909,0.15740421125302037,0.6368305209097579,0.192,0.01486374896779521,1.010721247563353,0.15754437869822485,1.9984802431610942,1.1867924528301887,0.43993839835728954,1.0117994100294985,0.1573161485974223,0.191869918699187,1.9979166666666666,0.013422818791946308,0.15402298850574714,1.0092402464065708,0.8452380952380952,0.4212473572938689,1.9978021978021978,1.2168560606060606,0.013513513513513514,0.19312602291325695
cluster_4,1.9185474860335197,2.2125579001544002,2.1641509433962263,0.5440888308295232,0.0,1.0,2.0,3.0,1.013018156903049,0.0,2.7069351230425056,1.989090909090909,2.8981705212288573,0.9937637564196625,2.2096,2.7010734929810076,1.9844054580896686,2.875,0.0,0.9160377358490566,0.997946611909651,1.9823008849557522,2.8919636087945415,2.229268292682927,0.0,2.7181208053691277,2.8839080459770114,1.9856262833675564,1.6845238095238095,1.0031712473572938,0.0,0.8882575757575758,2.7246621621621623,2.234042553191489
cluster_5,2.040558659217877,2.130725681935152,3.2138364779874213,0.47877204441541477,0.9985955056179775,0.20414673046251994,3.117046347211312,3.379634464751958,0.0,1.0,2.0,3.0,4.0,0.01504035216434336,2.24,1.9892650701899257,2.996101364522417,3.9500739644970415,1.0,0.39339622641509436,0.07340862422997947,2.994100294985251,3.94275966641395,2.2764227642276422,1.0,1.9941275167785235,3.922222222222222,2.9979466119096507,2.267857142857143,0.06289640591966174,1.0,0.375,1.9923986486486487,2.2847790507364976
cluster_6,2.2604469273743018,2.0622748327328875,3.0654088050314465,2.178967994774657,4.655898876404494,0.2883572567783094,2.99528672427337,3.185117493472585,0.11202466598150052,4.757575757575758,1.8911260253542133,2.908181818181818,3.752847773558854,0.0,1.0,2.0,3.0,4.0,5.0,0.9839622641509433,0.1570841889117043,2.999016715830875,3.955648218347233,1.0,5.0,1.9983221476510067,3.9375478927203065,2.9989733059548254,2.6904761904761907,0.15169133192389006,5.0,0.9886363636363636,1.9966216216216217,1.0
cluster_7,2.671284916201117,2.9581403328186653,2.3943396226415095,1.8667537557152187,3.452247191011236,1.2325358851674642,2.227022780832679,3.8514360313315925,0.9369647139431312,3.5281385281385282,5.721849366144668,2.1027272727272726,3.0176044183638244,0.7201027146001467,3.944,5.908340214698597,1.9844054580896686,2.9086538461538463,3.683890577507599,0.0,1.0,2.0,3.0,4.0,5.0,6.0,2.978544061302682,1.9989733059548254,2.261904761904762,1.019556025369979,5.0,0.052083333333333336,6.0,4.0
cluster_8,2.8454748603351954,2.9348087150454623,1.3075471698113208,4.1025473546701505,4.140449438202247,3.84274322169059,1.310290652003142,2.2986945169712794,3.7434052757793763,4.154401154401154,6.067114093959732,1.3509090909090908,0.7038315498791854,3.5502567865003667,6.9248,5.926507018992568,1.0594541910331383,0.17048816568047337,4.1580547112462005,4.917924528301887,2.965605749486653,1.0304818092428711,0.04700530705079606,6.972357723577236,3.9541666666666666,5.972315436241611,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0
