Date,Store,Dept,Weekly_Sales
2012-11-09,1,55,21656.687100000025
2012-11-09,1,56,1292.4456
2012-11-09,1,58,3807.8796999999995
2012-11-09,1,59,738.8170000000005
2012-11-09,1,60,1140.3099999999993
2012-11-09,1,67,6184.921700000001
2012-11-09,1,71,2347.788200000001
2012-11-09,1,72,46036.44539999998
2012-11-09,1,74,9823.197899999997
2012-11-09,1,79,40915.10029999999
2012-11-09,1,80,19321.03229999999
2012-11-09,1,81,31391.49759999999
2012-11-09,1,82,20127.175900000002
2012-11-09,1,83,6396.760800000001
2012-11-09,1,85,2976.9024000000004
2012-11-09,1,87,55510.77339999996
2012-11-09,1,90,92875.89780000004
2012-11-09,1,91,72738.40620000003
2012-11-09,1,92,100000.0
2012-11-09,1,93,82456.10519999996
2012-11-09,1,94,61587.707299999965
2012-11-09,1,95,100000.0
2012-11-09,1,96,33548.37139999998
2012-11-09,1,97,36649.7302
2012-11-09,1,98,13283.946300000003
2012-11-09,1,99,79.77070000000003
2012-11-16,1,1,19461.058200000007
2012-11-16,1,2,44037.79609999998
2012-11-16,1,3,11185.454200000006
2012-11-16,1,4,38874.22600000002
2012-11-16,1,5,28757.34400000002
2012-11-16,1,6,3488.7987
2012-11-16,1,7,28000.537700000004
2012-11-16,1,8,36507.98059999998
2012-11-16,1,9,35852.658399999986
2012-11-16,1,10,31986.540699999994
2012-11-16,1,11,26444.462399999997
2012-11-16,1,12,8378.974999999995
2012-11-16,1,13,38187.11290000001
2012-11-16,1,14,17283.46009999999
2012-11-16,1,16,5645.644500000003
2012-11-16,1,17,9527.6485
2012-11-16,1,18,12392.440600000004
2012-11-16,1,19,1016.1473000000002
2012-11-16,1,20,3659.077100000002
2012-11-16,1,21,8490.019900000003
2012-11-16,1,22,7620.7334
2012-11-16,1,23,22816.240599999997
2012-11-16,1,24,6660.075599999996
2012-11-16,1,25,10086.951199999994
2012-11-16,1,26,7433.2733000000035
2012-11-16,1,27,1827.9052000000017
2012-11-16,1,28,742.7879000000004
2012-11-16,1,29,5726.899700000001
2012-11-16,1,30,2280.677900000001
2012-11-16,1,31,1603.919799999999
2012-11-16,1,32,5975.043200000001
2012-11-16,1,33,5828.2108
2012-11-16,1,34,12530.262699999997
2012-11-16,1,35,2529.673599999999
2012-11-16,1,36,1766.3081000000002
2012-11-16,1,37,2644.628000000001
2012-11-16,1,38,78057.98790000001
2012-11-16,1,40,60452.76130000004
2012-11-16,1,41,1134.9084
2012-11-16,1,42,7764.222599999999
2012-11-16,1,44,6075.951699999998
2012-11-16,1,46,17662.99779999999
2012-11-16,1,48,2149.0398999999998
2012-11-16,1,49,9931.01569999999
2012-11-16,1,52,2012.0614999999993
2012-11-16,1,54,41.21740000000002
2012-11-16,1,55,19631.171100000007
2012-11-16,1,56,1116.6928999999998
2012-11-16,1,58,3703.5391000000004
2012-11-16,1,59,768.0403000000005
2012-11-16,1,60,873.5219999999998
2012-11-16,1,67,7191.8739000000005
2012-11-16,1,71,2475.7088
2012-11-16,1,72,44211.11329999998
2012-11-16,1,74,9760.938299999998
2012-11-16,1,79,32579.500500000016
2012-11-16,1,80,19037.8715
2012-11-16,1,81,30372.109199999995
2012-11-16,1,82,20248.544399999995
2012-11-16,1,83,5682.200299999998
2012-11-16,1,85,3108.212500000001
2012-11-16,1,87,48252.03459999999
2012-11-16,1,90,94246.37450000006
2012-11-16,1,91,68379.29089999999
2012-11-16,1,92,100000.0
2012-11-16,1,93,82818.17799999993
2012-11-16,1,94,61550.81499999998
2012-11-16,1,95,100000.0
2012-11-16,1,96,31750.50399999999
2012-11-16,1,97,36465.41590000001
2012-11-16,1,98,14995.256100000013
2012-11-23,1,1,20831.391700000004
2012-11-23,1,2,47457.15459999998
2012-11-23,1,3,9830.572100000001
2012-11-23,1,4,45507.34370000001
2012-11-23,1,5,69316.80890000003
2012-11-23,1,6,20383.35920000001
2012-11-23,1,7,81273.20939999996
2012-11-23,1,8,36257.231600000014
2012-11-23,1,9,41106.2709
2012-11-23,1,10,31284.300699999978
2012-11-23,1,11,28803.986100000024
2012-11-23,1,12,9108.490199999995
2012-11-23,1,13,37685.6782
2012-11-23,1,14,49056.61620000004
2012-11-23,1,16,8049.791299999994
2012-11-23,1,17,11793.630899999996
2012-11-23,1,18,25445.8101
2012-11-23,1,19,1101.559399999999
2012-11-23,1,20,5355.320200000004
2012-11-23,1,21,9836.938500000002
2012-11-23,1,22,17266.36050000001
2012-11-23,1,23,32442.258700000028
2012-11-23,1,24,14428.580599999994
2012-11-23,1,25,11842.081899999992
2012-11-23,1,26,9233.992700000004
2012-11-23,1,27,2032.6817000000024
2012-11-23,1,28,757.5402000000001
2012-11-23,1,29,5740.313200000001
2012-11-23,1,30,2739.2394999999988
2012-11-23,1,31,1559.9022999999988
2012-11-23,1,32,9550.248099999999
2012-11-23,1,33,11015.609099999985
2012-11-23,1,34,14759.612900000013
2012-11-23,1,35,2922.5321999999987
2012-11-23,1,36,2533.0108000000005
2012-11-23,1,37,2676.033600000002
2012-11-23,1,38,63573.17720000004
2012-11-23,1,40,58539.75920000001
2012-11-23,1,41,2590.895300000002
2012-11-23,1,42,7695.784800000002
2012-11-23,1,44,7400.9728
2012-11-23,1,46,18497.837400000004
2012-11-23,1,48,3348.5385000000006
2012-11-23,1,49,9413.358800000002
2012-11-23,1,52,3237.8129
2012-11-23,1,54,50.60320000000002
2012-11-23,1,55,44201.72880000001
2012-11-23,1,56,1255.804799999999
2012-11-23,1,58,4178.89
2012-11-23,1,59,1265.1945999999991
2012-11-23,1,60,908.0780000000008
2012-11-23,1,67,7188.330400000003
2012-11-23,1,71,4750.203899999999
2012-11-23,1,72,94859.29940000002
2012-11-23,1,74,18652.099799999978
2012-11-23,1,79,32296.766200000002
2012-11-23,1,80,18554.595800000006
2012-11-23,1,81,30370.6254
2012-11-23,1,82,21951.761800000007
2012-11-23,1,83,5403.944999999998
2012-11-23,1,85,3642.429899999999
2012-11-23,1,87,47756.05770000001
2012-11-23,1,90,93638.66110000003
2012-11-23,1,91,60908.93429999999
2012-11-23,1,92,100000.0
2012-11-23,1,93,82746.69609999997
2012-11-23,1,94,66467.2301
2012-11-23,1,95,100000.0
2012-11-23,1,96,39235.9614
2012-11-23,1,97,34327.52570000002
2012-11-23,1,98,19713.10830000001
2012-11-23,1,99,2907.8448
2012-11-30,1,1,38797.76680000001
2012-11-30,1,2,47625.72659999997
2012-11-30,1,3,9801.027500000002
2012-11-30,1,4,44343.00470000002
2012-11-30,1,5,47706.60170000001
2012-11-30,1,6,8316.919600000001
2012-11-30,1,7,45029.62379999999
2012-11-30,1,8,36613.48009999999
2012-11-30,1,9,40296.263600000006
2012-11-30,1,10,30702.065699999985
2012-11-30,1,11,27609.39390000001
2012-11-30,1,12,7854.283099999996
2012-11-30,1,13,37013.721
2012-11-30,1,14,37743.43840000002
2012-11-30,1,16,6926.309199999998
2012-11-30,1,17,11336.519199999999
2012-11-30,1,18,22602.61689999999
2012-11-30,1,19,1222.4677999999994
2012-11-30,1,20,4428.580600000002
2012-11-30,1,21,8601.127399999996
2012-11-30,1,22,12023.423100000005
2012-11-30,1,23,28347.354300000017
2012-11-30,1,24,9177.708200000001
2012-11-30,1,25,11719.519099999994
2012-11-30,1,26,6768.898399999997
2012-11-30,1,27,1735.829900000002
2012-11-30,1,28,819.4498000000006
2012-11-30,1,29,5867.095700000002
2012-11-30,1,30,2643.6621999999984
2012-11-30,1,31,1549.8263999999992
2012-11-30,1,32,7343.9894
2012-11-30,1,33,6908.1196999999975
2012-11-30,1,34,13541.370600000006
2012-11-30,1,35,2658.845799999999
2012-11-30,1,36,2003.2513000000004
2012-11-30,1,37,2437.5496000000003
2012-11-30,1,38,65800.41039999998
2012-11-30,1,40,59314.747599999995
2012-11-30,1,41,2142.101700000001
2012-11-30,1,42,7383.231900000001
2012-11-30,1,44,7040.2895
2012-11-30,1,45,30.325400000000013
2012-11-30,1,46,17623.5213
2012-11-30,1,48,2870.2290000000003
2012-11-30,1,49,9668.735
2012-11-30,1,52,2665.4485999999997
2012-11-30,1,54,63.02860000000004
2012-11-30,1,55,30914.88770000003
2012-11-30,1,56,833.2633999999998
2012-11-30,1,58,3785.94
2012-11-30,1,59,1799.503299999999
2012-11-30,1,60,958.2360000000007
2012-11-30,1,67,7606.978300000003
2012-11-30,1,71,3264.612400000001
2012-11-30,1,72,57874.32150000001
2012-11-30,1,74,10633.816299999995
2012-11-30,1,79,30300.964000000018
2012-11-30,1,80,18011.146099999998
2012-11-30,1,81,29019.582000000002
2012-11-30,1,82,20535.739400000006
2012-11-30,1,83,5076.076399999996
2012-11-30,1,85,3669.8198999999995
2012-11-30,1,87,48376.253500000006
2012-11-30,1,90,88208.7818
2012-11-30,1,91,58114.25109999996
2012-11-30,1,92,100000.0
2012-11-30,1,93,75743.84779999997
2012-11-30,1,94,68182.72819999997
2012-11-30,1,95,99525.53170000002
2012-11-30,1,96,35211.032799999986
2012-11-30,1,97,32809.76680000002
2012-11-30,1,98,16965.50430000002
2012-11-30,1,99,2970.65
2012-12-07,1,1,54962.895499999955
2012-12-07,1,2,48640.99100000001
2012-12-07,1,3,12594.2286
2012-12-07,1,4,40851.22680000002
2012-12-07,1,5,47020.56759999999
2012-12-07,1,6,10933.567800000004
2012-12-07,1,7,65749.0461
2012-12-07,1,8,54181.765200000045
2012-12-07,1,9,38623.75859999999
2012-12-07,1,10,31099.998600000003
2012-12-07,1,11,30646.228500000023
2012-12-07,1,12,10769.276600000001
2012-12-07,1,13,41051.70129999998
2012-12-07,1,14,39470.86980000003
2012-12-07,1,16,8800.1719
2012-12-07,1,17,17887.444299999996
2012-12-07,1,18,75605.25220000002
2012-12-07,1,19,1458.6265999999994
2012-12-07,1,20,4787.9489
2012-12-07,1,21,9946.353300000002
2012-12-07,1,22,10444.417700000002
2012-12-07,1,23,44523.07230000001
2012-12-07,1,24,14550.601999999999
2012-12-07,1,25,12348.5312
2012-12-07,1,26,8151.587099999995
2012-12-07,1,27,5280.918300000002
2012-12-07,1,28,727.4977
2012-12-07,1,29,9957.475099999994
2012-12-07,1,30,2395.4366999999993
2012-12-07,1,31,4784.964
2012-12-07,1,32,24112.425199999983
2012-12-07,1,33,19957.104700000014
2012-12-07,1,34,13932.510100000003
2012-12-07,1,35,2783.1578000000004
2012-12-07,1,36,1830.6039000000005
2012-12-07,1,37,2799.9313999999977
2012-12-07,1,38,82467.91350000001
2012-12-07,1,40,61378.610099999976
2012-12-07,1,41,1567.7294000000006
2012-12-07,1,42,7315.985499999997
2012-12-07,1,44,6737.677299999997
2012-12-07,1,45,23.653400000000005
2012-12-07,1,46,36751.27099999998
2012-12-07,1,48,1953.1329999999998
2012-12-07,1,49,10324.6624
2012-12-07,1,52,2831.3071
2012-12-07,1,54,71.37320000000005
2012-12-07,1,55,22630.72740000001
2012-12-07,1,56,1777.1073999999994
2012-12-07,1,58,4020.3381999999997
2012-12-07,1,59,4161.0201
2012-12-07,1,60,1509.6680000000001
2012-12-07,1,67,10338.875700000004
2012-12-07,1,71,2659.4792000000016
2012-12-07,1,72,55942.17549999999
2012-12-07,1,74,9996.589300000003
2012-12-07,1,79,42161.4993
2012-12-07,1,80,20483.317199999994
2012-12-07,1,81,32513.565199999997
2012-12-07,1,82,44659.532900000035
2012-12-07,1,83,6151.676799999999
2012-12-07,1,85,5447.043900000007
2012-12-07,1,87,58370.840700000015
2012-12-07,1,90,94701.14290000004
2012-12-07,1,91,71057.23760000002
2012-12-07,1,92,100000.0
2012-12-07,1,93,82897.41749999995
2012-12-07,1,94,60561.58270000002
2012-12-07,1,95,100000.0
2012-12-07,1,96,34890.14999999999
2012-12-07,1,97,37760.48439999999
2012-12-07,1,98,13118.726000000006
2012-12-07,1,99,1750.5548999999999
2012-12-14,1,1,44394.06919999997
2012-12-14,1,2,49690.86799999998
2012-12-14,1,3,12216.225500000008
2012-12-14,1,4,38445.52510000001
2012-12-14,1,5,42800.57119999999
2012-12-14,1,6,7934.266600000004
2012-12-14,1,7,60838.72789999999
2012-12-14,1,8,36049.96059999999
2012-12-14,1,9,28411.126500000017
2012-12-14,1,10,29719.99199999999
2012-12-14,1,11,29814.157800000015
2012-12-14,1,12,7671.876499999997
2012-12-14,1,13,36722.55180000002
2012-12-14,1,14,25413.673400000007
2012-12-14,1,16,5266.279900000001
2012-12-14,1,17,11346.860099999998
2012-12-14,1,18,33487.92440000001
2012-12-14,1,19,1482.5657999999994
2012-12-14,1,20,3410.280200000003
2012-12-14,1,21,9450.727500000005
2012-12-14,1,22,10512.466899999994
2012-12-14,1,23,33550.0801
2012-12-14,1,24,10418.508999999998
2012-12-14,1,25,11161.752100000002
2012-12-14,1,26,8437.120699999994
2012-12-14,1,27,3081.0421000000015
2012-12-14,1,28,775.5367000000005
2012-12-14,1,29,7320.6547
2012-12-14,1,30,2353.1286999999998
2012-12-14,1,31,3547.5447999999974
2012-12-14,1,32,15102.541900000004
2012-12-14,1,33,11460.284199999996
2012-12-14,1,34,13738.228300000006
2012-12-14,1,35,2773.7136
2012-12-14,1,36,2375.6902
2012-12-14,1,37,2454.5683000000013
2012-12-14,1,38,76217.55479999998
2012-12-14,1,40,60901.7806
2012-12-14,1,41,1496.2053
2012-12-14,1,42,6635.771199999997
2012-12-14,1,44,6476.088499999999
2012-12-14,1,46,29092.473800000003
2012-12-14,1,48,2192.9141999999997
2012-12-14,1,49,9997.939099999996
2012-12-14,1,52,2715.6693000000005
2012-12-14,1,54,57.93080000000007
2012-12-14,1,55,20420.59830000001
2012-12-14,1,56,1484.5803999999991
2012-12-14,1,58,4141.039699999999
2012-12-14,1,59,3907.6480999999994
2012-12-14,1,60,1543.6340000000002
2012-12-14,1,67,9151.609799999998
2012-12-14,1,71,2616.107
2012-12-14,1,72,57983.8066
2012-12-14,1,74,9542.567600000002
2012-12-14,1,79,32594.79000000002
2012-12-14,1,80,18893.5049
2012-12-14,1,81,30383.632399999988
2012-12-14,1,82,29943.393099999976
2012-12-14,1,83,5805.105499999998
2012-12-14,1,85,5619.679600000003
2012-12-14,1,87,47477.90789999999
2012-12-14,1,90,93937.2985000001
2012-12-14,1,91,68064.39109999995
2012-12-14,1,92,100000.0
2012-12-14,1,93,77943.00659999995
2012-12-14,1,94,57442.03090000003
2012-12-14,1,95,100000.0
2012-12-14,1,96,30928.120400000014
2012-12-14,1,97,36608.498600000006
2012-12-14,1,98,14663.808500000006
2012-12-14,1,99,892.6755999999997
2012-12-21,1,1,61406.65900000008
2012-12-21,1,2,55373.23630000002
2012-12-21,1,3,12685.250299999996
2012-12-21,1,4,41470.379700000034
2012-12-21,1,5,63993.16050000002
2012-12-21,1,6,15342.852300000004
2012-12-21,1,7,85913.53549999998
2012-12-21,1,8,52037.46680000001
2012-12-21,1,9,36758.21099999999
2012-12-21,1,10,30600.0334
2012-12-21,1,11,28621.71370000001
2012-12-21,1,12,9617.085500000001
2012-12-21,1,13,37195.760500000004
2012-12-21,1,14,44209.02620000001
2012-12-21,1,16,6222.350699999997
2012-12-21,1,17,17792.425099999997
2012-12-21,1,18,43150.639699999985
2012-12-21,1,19,1771.4553
2012-12-21,1,20,4998.877499999999
2012-12-21,1,21,11650.781499999992
2012-12-21,1,22,13149.917199999993
2012-12-21,1,23,53498.98350000002
2012-12-21,1,24,13987.939799999987
2012-12-21,1,25,12908.996300000004
2012-12-21,1,26,9791.900799999996
2012-12-21,1,27,5830.871199999999
2012-12-21,1,28,849.6095000000007
2012-12-21,1,29,10195.41669999999
2012-12-21,1,30,2233.6522000000014
2012-12-21,1,31,5913.631699999999
2012-12-21,1,32,49969.7062
2012-12-21,1,33,17928.145300000004
2012-12-21,1,34,14133.535100000003
2012-12-21,1,35,3075.7473000000005
2012-12-21,1,36,3141.5061000000005
2012-12-21,1,37,2711.561
2012-12-21,1,38,71861.15410000003
2012-12-21,1,40,60206.78150000005
2012-12-21,1,41,2508.454400000001
2012-12-21,1,42,7176.022899999999
2012-12-21,1,44,6916.247
2012-12-21,1,46,47991.906899999965
2012-12-21,1,47,-30.901099999999996
2012-12-21,1,48,3243.1975
2012-12-21,1,49,10170.164999999999
2012-12-21,1,52,2879.7666999999988
2012-12-21,1,54,90.05200000000002
2012-12-21,1,55,23828.5826
2012-12-21,1,56,934.6227999999993
2012-12-21,1,58,3939.6291
2012-12-21,1,59,8756.337899999999
2012-12-21,1,60,1468.72
2012-12-21,1,67,13645.072200000006
2012-12-21,1,71,2992.3036999999995
2012-12-21,1,72,69045.82080000002
2012-12-21,1,74,12701.756399999997
2012-12-21,1,79,31567.550000000032
2012-12-21,1,80,19421.08870000002
2012-12-21,1,81,30448.835499999997
2012-12-21,1,82,52677.92140000004
2012-12-21,1,83,5554.807599999999
2012-12-21,1,85,6730.454700000006
2012-12-21,1,87,48361.81169999996
2012-12-21,1,90,90761.42970000002
2012-12-21,1,91,63386.250399999975
2012-12-21,1,92,100000.0
2012-12-21,1,93,82683.49889999998
2012-12-21,1,94,66722.43640000002
2012-12-21,1,95,100000.0
2012-12-21,1,96,35700.481199999995
2012-12-21,1,97,36901.93170000001
2012-12-21,1,98,16124.807100000009
2012-12-21,1,99,1829.5897999999997
2012-12-28,1,1,20685.72280000001
2012-12-28,1,2,47973.63960000001
2012-12-28,1,3,10478.55569999999
2012-12-28,1,4,40071.52550000005
2012-12-28,1,5,59039.125
2012-12-28,1,6,16001.726200000012
2012-12-28,1,7,50256.56489999995
2012-12-28,1,8,39675.199099999954
2012-12-28,1,9,32554.367800000004
2012-12-28,1,10,31115.72559999999
2012-12-28,1,11,25872.674500000012
2012-12-28,1,12,7934.647299999998
2012-12-28,1,13,36633.63200000003
2012-12-28,1,14,39483.5222
2012-12-28,1,16,5264.768500000005
2012-12-28,1,17,12081.98599999999
2012-12-28,1,18,17237.6493
2012-12-28,1,19,1645.4238
2012-12-28,1,20,4567.394200000003
2012-12-28,1,21,8103.1233999999995
2012-12-28,1,22,14393.330300000007
2012-12-28,1,23,26074.949100000005
2012-12-28,1,24,13696.636299999998
2012-12-28,1,25,11161.670600000001
2012-12-28,1,26,10130.590299999998
2012-12-28,1,27,2461.865799999997
2012-12-28,1,28,744.4187000000004
2012-12-28,1,29,7386.421899999996
2012-12-28,1,30,2366.7343000000005
2012-12-28,1,31,2405.0824000000007
2012-12-28,1,32,12378.265299999992
2012-12-28,1,33,5723.368999999999
2012-12-28,1,34,12394.2316
2012-12-28,1,35,2820.049599999999
2012-12-28,1,36,2776.3678000000004
2012-12-28,1,37,2568.8378000000007
2012-12-28,1,38,71488.40530000001
2012-12-28,1,40,57977.702799999955
2012-12-28,1,41,2498.8678000000004
2012-12-28,1,42,7040.888300000002
2012-12-28,1,44,6406.062799999999
2012-12-28,1,46,26474.231799999994
2012-12-28,1,48,2930.9228
2012-12-28,1,49,11736.760400000001
2012-12-28,1,52,2659.4159999999997
2012-12-28,1,54,81.68160000000005
2012-12-28,1,55,37390.90340000002
2012-12-28,1,56,845.6115999999997
2012-12-28,1,58,3476.1796999999997
2012-12-28,1,59,4969.553000000001
2012-12-28,1,60,737.7039999999995
2012-12-28,1,67,8258.556099999994
2012-12-28,1,71,4127.396600000006
2012-12-28,1,72,82702.43330000002
2012-12-28,1,74,13767.640200000005
2012-12-28,1,79,29574.232900000028
2012-12-28,1,80,17744.426900000013
2012-12-28,1,81,28168.597699999977
2012-12-28,1,82,34479.06579999995
2012-12-28,1,83,4990.286099999999
2012-12-28,1,85,4454.333599999996
2012-12-28,1,87,48212.9573
2012-12-28,1,90,86320.4492
2012-12-28,1,91,52794.32819999997
2012-12-28,1,92,100000.0
2012-12-28,1,93,59417.46979999998
2012-12-28,1,94,54000.0421
2012-12-28,1,95,96318.70070000006
2012-12-28,1,96,36177.7154
2012-12-28,1,97,33982.27510000001
2012-12-28,1,98,15978.430200000013
2012-12-28,1,99,515.2311
2013-01-04,1,1,17998.53919999998
2013-01-04,1,2,46383.067
2013-01-04,1,3,12878.621000000003
2013-01-04,1,4,38321.812900000026
2013-01-04,1,5,25137.794200000004
2013-01-04,1,6,2627.386899999998
2013-01-04,1,7,12003.437900000004
2013-01-04,1,8,38552.30150000001
2013-01-04,1,9,17331.022800000006
2013-01-04,1,10,26117.6844
2013-01-04,1,11,24798.647300000015
2013-01-04,1,12,7901.769199999998
2013-01-04,1,13,40011.00129999999
2013-01-04,1,14,14787.504999999994
2013-01-04,1,16,6019.924099999996
2013-01-04,1,17,8690.948100000005
2013-01-04,1,18,6447.0251
2013-01-04,1,19,808.9144000000003
2013-01-04,1,20,3635.4960999999994
2013-01-04,1,21,7585.111500000003
2013-01-04,1,22,8748.98799999999
2013-01-04,1,23,17426.914899999996
2013-01-04,1,24,6200.560300000001
2013-01-04,1,25,6729.5569000000005
2013-01-04,1,26,4426.070199999995
2013-01-04,1,27,1973.8650999999998
2013-01-04,1,28,755.5035999999997
2013-01-04,1,29,5025.6176000000005
2013-01-04,1,30,2766.831200000002
2013-01-04,1,31,3025.099100000003
2013-01-04,1,32,4181.007300000005
2013-01-04,1,33,3873.826900000002
2013-01-04,1,34,8285.6413
2013-01-04,1,35,2033.480900000001
2013-01-04,1,36,1318.2966000000004
2013-01-04,1,37,3096.374700000004
2013-01-04,1,38,88860.31089999997
2013-01-04,1,40,64725.369999999966
2013-01-04,1,41,455.0249000000002
2013-01-04,1,42,7646.025100000006
2013-01-04,1,44,4286.508500000005
2013-01-04,1,46,16278.680599999996
2013-01-04,1,48,719.2203
2013-01-04,1,49,10680.985999999997
2013-01-04,1,52,1729.425599999999
2013-01-04,1,54,33.25220000000001
2013-01-04,1,55,12209.796600000003
2013-01-04,1,56,835.5902999999997
2013-01-04,1,58,2479.9398
2013-01-04,1,59,466.4160000000002
2013-01-04,1,60,1250.7240000000006
2013-01-04,1,67,7539.150700000002
2013-01-04,1,71,2812.871099999998
2013-01-04,1,72,41659.321500000005
2013-01-04,1,74,12393.556100000002
2013-01-04,1,79,43246.62459999996
2013-01-04,1,80,18157.20140000001
2013-01-04,1,81,30207.669200000022
2013-01-04,1,82,20885.607499999987
2013-01-04,1,83,6204.4541
2013-01-04,1,85,3173.1044999999986
2013-01-04,1,87,60431.30910000002
2013-01-04,1,90,86828.96570000004
2013-01-04,1,91,67619.35760000002
2013-01-04,1,92,100000.0
2013-01-04,1,93,76099.6729
2013-01-04,1,94,64562.51520000002
2013-01-04,1,95,99741.70179999997
2013-01-04,1,96,29840.435699999998
2013-01-04,1,97,35601.3726
2013-01-04,1,98,11957.537400000005
2013-01-11,1,1,17243.61849999998
2013-01-11,1,2,45255.31569999998
2013-01-11,1,3,12934.559000000001
2013-01-11,1,4,36072.996500000016
2013-01-11,1,5,23473.7718
2013-01-11,1,6,2892.5672999999997
2013-01-11,1,7,10665.775300000003
2013-01-11,1,8,36097.594600000004
2013-01-11,1,9,17159.797100000014
2013-01-11,1,10,26329.066200000012
2013-01-11,1,11,23792.5757
2013-01-11,1,12,7944.204199999992
2013-01-11,1,13,38380.88870000002
2013-01-11,1,14,14747.967699999997
2013-01-11,1,16,7249.328599999999
2013-01-11,1,17,8884.375600000005
2013-01-11,1,18,3641.6384000000003
2013-01-11,1,19,770.8935000000006
2013-01-11,1,20,4075.3415000000014
2013-01-11,1,21,7561.550999999999
2013-01-11,1,22,8224.240999999995
2013-01-11,1,23,16141.45169999999
2013-01-11,1,24,4119.682700000002
2013-01-11,1,25,6493.885099999994
2013-01-11,1,26,4293.7762
