Title,About,EpisodeDuration(in Minutes),Genres,Actors,Rating,Votes,Years
Criminal Minds,"The cases of the F.B.I. Behavioral Analysis Unit (B.A.U.), an elite group of profilers who analyze the nation's most dangerous serial killers and individual heinous crimes in an effort to anticipate their next moves before they strike again.",44,"Crime, Drama, Mystery","Matthew Gray Gubler, Kirsten Vangsness, A.J. Cook, Joe Mantegna",8.0,167842,2005–2020
Manifest,"A commercial airliner suddenly reappears after being missing for five years. As those aboard reintegrate into society, they experience guiding voices and visions of events yet to occur, and soon a deeper mystery unfolds.",42,"Drama, Mystery, Sci-Fi","Melissa Roxburgh, Josh Dallas, Athena Karkanis, J.R. Ramirez",7.2,25510,2018–2021
Yellowstone,A ranching family in Montana faces off against others encroaching on their land.,43,"Drama, Western","Kevin Costner, Luke Grimes, Kelly Reilly, Wes Bentley",8.6,37622,2018– 
Stranger Things,"When a young boy disappears, his mother, a police chief and his friends must confront terrifying supernatural forces in order to get him back.",60,"Drama, Fantasy, Horror","Millie Bobby Brown, Finn Wolfhard, Winona Ryder, David Harbour",8.7,864302,2016– 
Why Women Kill,"An anthology series that follows three women in different decades all living in the same house, as they deal with infidelity and betrayals in their marriages.",51,"Comedy, Crime, Drama","Jack Davenport, Lucy Liu, Ginnifer Goodwin, Kirby Howell-Baptiste",8.4,13611,2019– 
The Flash,"After being struck by lightning, Barry Allen wakes up from his coma to discover he's been given the power of super speed, becoming the next Flash, fighting crime in Central City.",43,"Action, Adventure, Drama","Grant Gustin, Candice Patton, Danielle Panabaker, Carlos Valdes",7.6,314534,2014– 
Supernatural,"Two brothers follow their father's footsteps as hunters, fighting evil supernatural beings of many kinds, including monsters, demons and gods that roam the earth.",44,"Drama, Fantasy, Horror","Jared Padalecki, Jensen Ackles, Jim Beaver, Misha Collins",8.4,399980,2005–2020
NCIS: Naval Criminal Investigative Service,"The cases of the Naval Criminal Investigative Service's Washington, D.C. Major Case Response Team, led by Special Agent Leroy Jethro Gibbs.",60,"Action, Crime, Drama","Mark Harmon, David McCallum, Sean Murray, Pauley Perrette",7.7,123556,2003– 
The Good Doctor,"Shaun Murphy, a young surgeon with autism and Savant syndrome, is recruited into the surgical unit of a prestigious hospital.",41,Drama,"Freddie Highmore, Hill Harper, Richard Schiff, Antonia Thomas",8.1,67670,2017– 
Line of Duty,"Drama series following the investigations of AC-12, a controversial police anti-corruption unit.",60,"Crime, Drama, Mystery","Martin Compston, Vicky McClure, Adrian Dunbar, Craig Parkinson",8.7,44376,2012– 
Fear the Walking Dead,"A Walking Dead spinoff set in Los Angeles, California. Follows two families who must band together to survive the undead apocalypse.",44,"Drama, Horror, Sci-Fi","Kim Dickens, Frank Dillane, Cliff Curtis, Rubén Blades",6.9,116481,2015– 
Downton Abbey,A chronicle of the lives of the British aristocratic Crawley family and their servants in the early twentieth century.,58,"Drama, Romance","Hugh Bonneville, Phyllis Logan, Elizabeth McGovern, Brendan Coyle",8.7,168268,2010–2015
Modern Family,Three different but related families face trials and tribulations in their own uniquely comedic ways.,22,"Comedy, Drama, Romance","""Ed ONeill"", Sofía Vergara, Julie Bowen, Ty Burrell",8.4,371124,2009–2020
La casa de papel,An unusual group of robbers attempt to carry out the most perfect robbery in Spanish history - stealing 2.4 billion euros from the Royal Mint of Spain.,70,"Action, Crime, Mystery","Úrsula Corberó, Álvaro Morte, Itziar Ituño, Pedro Alonso",8.3,331408,2017–2021
Schitt's Creek,"When rich video-store magnate Johnny Rose and his family suddenly find themselves broke, they are forced to leave their pampered lives to regroup in Schitt's Creek.",22,Comedy,"Eugene Levy, ""Catherine OHara"", Dan Levy, Annie Murphy",8.5,84920,2015–2020
Outlander,An English combat nurse from 1945 is mysteriously swept back in time to 1743.,64,"Drama, Fantasy, Romance","Caitriona Balfe, Sam Heughan, Duncan Lacroix, Sophie Skelton",8.4,132737,2014– 
Shingeki no kyojin,"After his hometown is destroyed and his mother is killed, young Eren Jaeger vows to cleanse the earth of the giant humanoid Titans that have brought humanity to the brink of extinction.",24,"Animation, Action, Adventure","Yûki Kaji, Marina Inoue, Josh Grelle, Yui Ishikawa",9.0,234234,2013–2021
War of the Worlds,"Set in contemporary France, this Anglo-French reimagining of H. G. Wells' classic in the style of Walking Dead follows pockets of survivors forced to team up after an apocalyptic extra-terrestrial strike.",49,"Drama, Mystery, Sci-Fi","Léa Drucker, Daisy Edgar-Jones, Natasha Little, Gabriel Byrne",6.3,8526,2019– 
The Big Bang Theory,A woman who moves into an apartment across the hall from two brilliant but socially awkward physicists shows them how little they know about life outside of the laboratory.,22,"Comedy, Romance","Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg",8.1,737437,2007–2019
Younger,"After being mistaken for younger than she really is, a single mother decides to take the chance to reboot her career and her love life as a 26-year old.",22,"Comedy, Romance","Sutton Foster, Hilary Duff, Debi Mazar, Nico Tortorella",7.8,19431,2015–2021
Dexter,"By day, mild-mannered Dexter is a blood-spatter analyst for the Miami police. But at night, he is a serial killer who only targets other murderers.",53,"Crime, Drama, Mystery","Michael C. Hall, Jennifer Carpenter, David Zayas, James Remar",8.6,658516,2006–2021
New Amsterdam,A new medical director breaks the rules to heal the system at America's oldest public hospital.,43,Drama,"Ryan Eggold, Janet Montgomery, Freema Agyeman, Jocko Sims",8.1,26041,2018– 
Brooklyn Nine-Nine,"Comedy series following the exploits of Det. Jake Peralta and his diverse, lovable colleagues as they police the NYPD's 99th Precinct.",22,"Comedy, Crime","Andy Samberg, Stephanie Beatriz, Terry Crews, Melissa Fumero",8.4,242429,2013–2022
Fargo,"Various chronicles of deception, intrigue and murder in and around frozen Minnesota. Yet all of these tales mysteriously lead back one way or another to Fargo, North Dakota.",53,"Crime, Drama, Thriller","Billy Bob Thornton, Martin Freeman, Allison Tolman, Colin Hanks",8.9,337527,2014– 
The Mandalorian,"The travels of a lone bounty hunter in the outer reaches of the galaxy, far from the authority of the New Republic.",40,"Action, Adventure, Sci-Fi","Pedro Pascal, Gina Carano, Giancarlo Esposito, Chris Bartlett",8.8,325891,2019– 
Better Call Saul,"The trials and tribulations of criminal lawyer Jimmy McGill in the time before he established his strip-mall law office in Albuquerque, New Mexico.",46,"Crime, Drama","Bob Odenkirk, Rhea Seehorn, Jonathan Banks, Patrick Fabian",8.7,341222,2015– 
This Is Us,"A heartwarming and emotional story about a unique set of triplets, their struggles and their wonderful parents.",45,"Comedy, Drama, Romance","Milo Ventimiglia, Mandy Moore, Sterling K. Brown, Chrissy Metz",8.7,114515,2016–2022
Rick and Morty,An animated series that follows the exploits of a super scientist and his not-so-bright grandson.,23,"Animation, Adventure, Comedy","Justin Roiland, Chris Parnell, Spencer Grammer, Sarah Chalke",9.2,395283,2013– 
Queen of the South,Teresa flees Mexico after her drug-runner boyfriend is murdered. Settling in Dallas she looks to become the country's reigning drug smuggler and to avenge her lover's murder.,42,"Action, Crime, Drama","Alice Braga, Hemky Madera, Peter Gadiot, Veronica Falcón",7.9,22064,2016–2021
American Horror Story,"An anthology series centering on different characters and locations, including a house with a murderous past, an insane asylum, a witch coven, a freak show circus, a haunted hotel, a possessed farmhouse, a cult, the apocalypse, and a slasher summer camp.",60,"Drama, Horror, Thriller","Lady Gaga, Kathy Bates, Angela Bassett, Sarah Paulson",8.0,282563,2011– 
"Love, Death & Robots","A collection of animated short stories that span various genres including science fiction, fantasy, horror and comedy.",15,"Animation, Short, Comedy","Scott Whyte, Nolan North, Steven Pacey, ""Emily OBrien""",8.5,116592,2019– 
Black Mirror,"An anthology series exploring a twisted, high-tech multiverse where humanity's greatest innovations and darkest instincts collide.",60,"Drama, Sci-Fi, Thriller","Daniel Lapaine, Hannah John-Kamen, Michaela Coel, Beatrice Robertson-Jones",8.8,462587,2011– 
The Witcher,"Geralt of Rivia, a solitary monster hunter, struggles to find his place in a world where people often prove more wicked than beasts.",60,"Action, Adventure, Fantasy","Henry Cavill, Anna Shaffer, Freya Allan, Yasen Atour",8.2,321466,2019– 
The Crown,Follows the political rivalries and romance of Queen Elizabeth II's reign and the events that shaped the second half of the twentieth century.,58,"Biography, Drama, History","Claire Foy, Olivia Colman, Imelda Staunton, Matt Smith",8.6,166196,2016– 
Lost,The survivors of a plane crash are forced to work together in order to survive on a seemingly deserted tropical island.,44,"Adventure, Drama, Fantasy","Jorge Garcia, Josh Holloway, Yunjin Kim, Evangeline Lilly",8.3,507182,2004–2010
It's Always Sunny in Philadelphia,Five friends with big egos and small brains are the proprietors of an Irish pub in Philadelphia.,22,Comedy,"Charlie Day, Glenn Howerton, Rob McElhenney, Kaitlin Olson",8.8,195045,2005– 
Kim's Convenience,The misadventures of a Korean-Canadian family running a convenience store.,22,Comedy,"Paul Sun-Hyung Lee, Jean Yoon, Andrea Bang, Simu Liu",8.2,11076,2016–2021
Shameless,"A scrappy, feisty, fiercely loyal Chicago family makes no apologies.",46,"Comedy, Drama","Emmy Rossum, William H. Macy, Ethan Cutkosky, Jeremy Allen White",8.5,211076,2011–2021
S.W.A.T.,Follows a locally born and bred S.W.A.T. sergeant and his team of highly-trained men and women as they solve crimes in Los Angeles.,43,"Action, Adventure, Crime","Shemar Moore, Alex Russell, Lina Esco, Kenny Johnson",7.0,15999,2017– 
How I Met Your Mother,A father recounts to his children - through a series of flashbacks - the journey he and his four best friends took leading up to him meeting their mother.,22,"Comedy, Romance","Josh Radnor, Jason Segel, Cobie Smulders, Neil Patrick Harris",8.3,618121,2005–2014
Pose,"In the New York of the late 80s and early 90s, this is a story of ball culture and the gay and trans community, the raging AIDS crisis and capitalism.",60,Drama,"Mj Rodriguez, Dominique Jackson, Indya Moore, Angel Bismark Curiel",8.6,22037,2018–2021
New Girl,"After a bad break-up, Jess, an offbeat young woman, moves into an apartment loft with three single men. Although they find her behavior very unusual, the men support her - most of the time.",22,Comedy,"Zooey Deschanel, Jake Johnson, Max Greenfield, Hannah Simone",7.7,198036,2011–2018
See,"Far in a dystopian future, the human race has lost the sense of sight, and society has had to find new ways to interact, build, hunt, and to survive. All of that is challenged when a set of twins is born with sight.",60,"Action, Drama, Sci-Fi","Jason Momoa, Sylvia Hoeks, Hera Hilmar, Christian Camargo",7.6,45777,2019– 
Ozark,"A financial advisor drags his family from Chicago to the Missouri Ozarks, where he must launder money to appease a drug boss.",60,"Crime, Drama, Thriller","Jason Bateman, Laura Linney, Sofia Hublitz, Skylar Gaertner",8.4,200966,2017– 
The 100,"Set ninety-seven years after a nuclear war has destroyed civilization, when a spaceship housing humanity's lone survivors sends one hundred juvenile delinquents back to Earth, in hopes of possibly re-populating the planet.",43,"Drama, Mystery, Sci-Fi","Eliza Taylor, Bob Morley, Marie Avgeropoulos, Isaiah Washington",7.6,224132,2014–2020
Doctor Who,The further adventures in time and space of the alien adventurer known as the Doctor and their companions from planet Earth.,45,"Adventure, Drama, Family","Jodie Whittaker, Peter Capaldi, Pearl Mackie, Matt Smith",8.6,202938,2005– 
Westworld,"Set at the intersection of the near future and the reimagined past, explore a world in which every human appetite can be indulged without consequence.",62,"Drama, Mystery, Sci-Fi","Evan Rachel Wood, Jeffrey Wright, Ed Harris, Thandiwe Newton",8.6,439841,2016– 
The Vampire Diaries,"The lives, loves, dangers and disasters in the town, Mystic Falls, Virginia. Creatures of unspeakable horror lurk beneath this town as a teenage girl is suddenly torn between two vampire brothers.",43,"Drama, Fantasy, Horror","Nina Dobrev, Paul Wesley, Ian Somerhalder, Kat Graham",7.7,290496,2009–2017
The Wire,"The Baltimore drug scene, as seen through the eyes of drug dealers and law enforcement.",59,"Crime, Drama, Thriller","Dominic West, Lance Reddick, Sonja Sohn, Wendell Pierce",9.3,294150,2002–2008
A Million Little Things,A group of friends becomes motivated to living fuller lives after the unexpected death of a close friend.,43,"Comedy, Drama, Romance","David Giuntoli, Romany Malco, Allison Miller, Christina Moses",7.9,9562,2018– 
The Last Kingdom,"As Alfred the Great defends his kingdom from Norse invaders, Uhtred - born a Saxon but raised by Vikings - seeks to claim his ancestral birthright.",60,"Action, Drama, History","Alexander Dreymon, Eliza Butterworth, Arnas Fedaravicius, Millie Brady",8.4,91987,2015– 
Sons of Anarchy,A biker struggles to balance being a father and being involved in an outlaw motorcycle club.,45,"Crime, Drama, Thriller","Charlie Hunnam, Katey Sagal, Mark Boone Junior, Kim Coates",8.5,267551,2008–2014
Bones,"Forensic anthropologist Dr. Temperance ""Bones"" Brennan and cocky F.B.I. Special Agent Seeley Booth build a team to investigate murders. Quite often, there isn't more to examine than rotten flesh or mere bones.",40,"Comedy, Crime, Drama","Emily Deschanel, David Boreanaz, Michaela Conlin, T.J. Thyne",7.8,142888,2005–2017
Bosch,An L.A.P.D. homicide detective works to solve the murder of a thirteen-year-old boy while standing trial in federal court for the murder of a serial killer.,51,"Crime, Drama","Titus Welliver, Jamie Hector, Amy Aquino, Lance Reddick",8.4,49704,2014– 
Chicago Fire,"The story of firefighters and paramedics in the city of Chicago, both on a personal and professional level.",43,"Action, Drama","Jesse Spencer, Taylor Kinney, Christian Stolte, Eamonn Walker",8.0,41221,2012– 
True Detective,"Seasonal anthology series in which police investigations unearth the personal and professional secrets of those involved, both within and outside the law.",55,"Crime, Drama, Mystery","Vince Vaughn, Colin Farrell, Rachel McAdams, Taylor Kitsch",8.9,510795,2014–2019
Community,A suspended lawyer is forced to enroll in a community college with an eccentric staff and student body.,22,Comedy,"Joel McHale, Danny Pudi, Donald Glover, Chevy Chase",8.5,227366,2009–2015
Castlevania,A vampire hunter fights to save a besieged city from an army of otherworldly creatures controlled by Dracula.,23,"Animation, Action, Adventure","Richard Armitage, James Callis, Alejandra Reynoso, Theo James",8.3,48905,2017–2021
Master of None,"The personal and professional life of Dev, a 30-year-old actor in New York.",30,"Comedy, Drama","Aziz Ansari, Eric Wareheim, Lena Waithe, Noël Wells",8.3,69540,2015– 
House M.D.,An antisocial maverick doctor who specializes in diagnostic medicine does whatever it takes to solve puzzling cases that come his way using his crack team of doctors and his wits.,44,"Drama, Mystery","Hugh Laurie, Omar Epps, Robert Sean Leonard, Jesse Spencer",8.7,422601,2004–2012
Sex Education,A teenage boy with a sex therapist mother teams up with a high school classmate to set up an underground sex therapy clinic at school.,45,"Comedy, Drama","Asa Butterfield, Gillian Anderson, Ncuti Gatwa, Emma Mackey",8.3,171342,2019– 
The Bold Type,A glimpse into the outrageous lives and loves of those responsible for a global women's magazine.,45,"Comedy, Drama","Katie Stevens, Aisha Dee, Meghann Fahy, Melora Hardin",7.9,14758,2017–2021
Superstore,A look at the lives of employees at a big box store.,22,Comedy,"Ben Feldman, Lauren Ash, Colton Dunn, Nico Santos",7.8,34013,2015–2021
The Expanse,"In the 24th century, a disparate band of antiheroes unravel a vast conspiracy that threatens the Solar System's fragile state of cold war.",60,"Drama, Mystery, Sci-Fi","Wes Chatham, Dominique Tipper, Steven Strait, Shohreh Aghdashloo",8.5,117294,2015– 
The Rookie,"Starting over isn't easy, especially for John Nolan who, after a life-altering incident, is pursuing his dream of joining the LAPD. As their oldest rookie, he's met with skepticism from those who see him as just a walking midlife crisis.",43,"Comedy, Crime, Drama","Nathan Fillion, Alyssa Diaz, Richard T. Jones, Titus Makin Jr.",8.0,23655,2018– 
Suits,"On the run from a drug deal gone bad, brilliant college dropout Mike Ross finds himself working with Harvey Specter, one of New York City's best lawyers.",44,"Comedy, Drama","Gabriel Macht, Patrick J. Adams, Meghan Markle, Sarah Rafferty",8.4,371333,2011–2019
Parks and Recreation,The absurd antics of an Indiana town's public officials as they pursue sundry projects to make their city a better place.,22,Comedy,"Amy Poehler, ""Jim OHeir"", Nick Offerman, Chris Pratt",8.6,223130,2009–2020
Cobra Kai,"Decades after their 1984 All Valley Karate Tournament bout, a middle-aged Daniel LaRusso and Johnny Lawrence find themselves martial-arts rivals again.",30,"Action, Comedy, Drama","Ralph Macchio, Xolo Maridueña, William Zabka, Courtney Henggeler",8.6,119611,2018– 
Legends of Tomorrow,"Time-travelling rogue Rip Hunter has to recruit a rag-tag team of heroes and villains to help prevent an apocalypse that could impact not only Earth, but all of time.",42,"Action, Adventure, Drama","Caity Lotz, Amy Louise Pemberton, Dominic Purcell, Brandon Routh",6.8,94463,2016– 
9-1-1,"Explores the high-pressure experiences of the first responders who are thrust into the most frightening, shocking and heart-stopping situations.",43,"Action, Drama, Thriller","Angela Bassett, Peter Krause, Oliver Stark, Aisha Hinds",7.7,24353,2018– 
Heartland,"A multi-generational saga set in Alberta, Canada and centered on a family getting through life together in both happy and trying times.",45,"Drama, Family","Amber Marshall, Shaun Johnston, Michelle Morgan, Graham Wardle",8.4,10864,II 2007– 
Broken But Beautiful,"The third season is the story of Agastya Rao and Rumi Desai - two people from very different worlds. Not only are their worlds poles apart, they are also a complete contrast to each other. ...                ",22,"Drama, Romance","Vikrant Massey, Harleen Sethi, Jitin Gulati, Pooja Bhamrrah",9.2,11744,2018– 
Mad Men,"A drama about one of New York's most prestigious ad agencies at the beginning of the 1960s, focusing on one of the firm's most mysterious but extremely talented ad executives, Donald Draper.",47,Drama,"Jon Hamm, Elisabeth Moss, Vincent Kartheiser, January Jones",8.6,213620,2007–2015
Boku no hîrô akademia,A superhero-loving boy without any powers is determined to enroll in a prestigious hero academy and learn what it really means to be a hero.,24,"Animation, Action, Adventure","Daiki Yamashita, Nobuhiko Okamoto, Ayane Sakura, Kaito Ishikawa",8.5,41896,2016– 
Dark,"A family saga with a supernatural twist, set in a German town, where the disappearance of two young children exposes the relationships among four families.",60,"Crime, Drama, Mystery","Louis Hofmann, Karoline Eichhorn, Lisa Vicari, Maja Schöne",8.8,305353,2017–2020
Chicago P.D.,"Follows District 21 of the Chicago Police Department, which is made up of two distinctly different groups: the uniformed cops and the Intelligence Unit.",43,"Action, Crime, Drama","Jason Beghe, Jesse Lee Soffer, Patrick John Flueger, Marina Squerciati",8.1,29871,2014– 
Euphoria,"A look at life for a group of high school students as they grapple with issues of drugs, sex, and violence.",55,Drama,"Zendaya, Hunter Schafer, Jacob Elordi, Maude Apatow",8.4,71996,2019– 
Homeland,A bipolar CIA operative becomes convinced a prisoner of war has been turned by al-Qaeda and is planning to carry out a terrorist attack on American soil.,55,"Crime, Drama, Mystery","Claire Danes, Mandy Patinkin, Damian Lewis, Rupert Friend",8.3,320237,2011–2020
BoJack Horseman,"BoJack Horseman was the star of the hit television show ""Horsin' Around"" in the '80s and '90s, but now he's washed up, living in Hollywood, complaining about everything, and wearing colorful sweaters.",25,"Animation, Comedy, Drama","Will Arnett, Amy Sedaris, Alison Brie, Aaron Paul",8.7,120871,2014–2020
Prison Break,"Due to a political conspiracy, an innocent man is sent to death row and his only hope is his brother, who makes it his mission to deliberately get himself sent to the same prison in order to break the both of them out, from the inside.",44,"Action, Crime, Drama","Dominic Purcell, Wentworth Miller, Amaury Nolasco, Robert Knepper",8.3,487718,2005–2017
Succession,"The Roy family is known for controlling the biggest media and entertainment company in the world. However, their world changes when their father steps down from the company.",60,Drama,"Nicholas Braun, Sarah Snook, Jeremy Strong, Brian Cox",8.6,53113,2018– 
Riverdale,"While navigating the troubled waters of romance, school and family, Archie and his gang become entangled in dark Riverdale mysteries.",45,"Crime, Drama, Mystery","K.J. Apa, Lili Reinhart, Camila Mendes, Cole Sprouse",6.8,125092,2017– 
Hawaii Five-0,Steve McGarrett returns home to Oahu in order to find his father's killer; The Governor offers him the chance to run his own task force - Five-0.,42,"Action, Crime, Drama","""Alex OLoughlin"", Scott Caan, Taylor Wily, Daniel Dae Kim",7.3,68008,2010–2020
SEAL Team,"The lives of the elite Navy SEALs as they train, plan and execute the most dangerous, high-stakes missions the United States of America can ask.",43,"Action, Drama, War","David Boreanaz, Max Thieriot, Neil Brown Jr., A.J. Buckley",7.6,17734,2017– 
Billions,"U.S. Attorney Chuck Rhoades goes after hedge fund king Bobby ""Axe"" Axelrod in a battle between two powerful New York figures.",60,Drama,"Paul Giamatti, Damian Lewis, Maggie Siff, David Costabile",8.4,72721,2016– 
Agents of S.H.I.E.L.D.,"The missions of the Strategic Homeland Intervention, Enforcement and Logistics Division.",45,"Action, Adventure, Drama","Clark Gregg, Ming-Na Wen, Brett Dalton, Iain De Caestecker",7.5,203586,2013–2020
Good Girls,Three suburban mothers suddenly find themselves in desperate circumstances and decide to stop playing it safe and risk everything to take their power back.,43,"Comedy, Crime, Drama","Christina Hendricks, Retta, Mae Whitman, Reno Wilson",7.8,37034,2018– 
Call the Midwife,Chronicles the lives of a group of midwives living in East London in the late-1950s to late-1960s.,60,"Drama, History","Vanessa Redgrave, Laura Main, Jenny Agutter, Stephen McGann",8.4,21074,2012– 
Legacies,"Hope Mikaelson, a tribrid daughter of a Vampire/Werewolf hybrid, makes her way in the world.",45,"Adventure, Drama, Fantasy","Danielle Rose Russell, Aria Shahghasemi, Kaylee Bryant, Quincy Fouse",7.4,21513,2018– 
Teen Wolf,An average high school student and his best friend get caught up in some trouble causing him to receive a werewolf bite. As a result they find themselves in the middle of all sorts of dramas in Beacon Hills.,41,"Action, Drama, Fantasy","Tyler Posey, Holland Roden, ""Dylan OBrien"", Linden Ashby",7.6,131103,2011–2017
Mr Inbetween,"In Mr Inbetween, Ryan plays ""Ray Shoesmith,"" a father, ex-husband, boyfriend and best friend: tough roles to juggle in the modern age. Even harder when you're a criminal for hire.",30,"Crime, Drama","Scott Ryan, Chika Yasumura, Justin Rosniak, Damon Herriman",8.5,7208,2018–2021
Arrow,"Spoiled billionaire playboy Oliver Queen is missing and presumed dead when his yacht is lost at sea. He returns five years later a changed man, determined to clean up the city as a hooded vigilante armed with a bow.",42,"Action, Adventure, Crime","Stephen Amell, Katie Cassidy, David Ramsey, Susanna Thompson",7.5,412385,2012–2020
Titans,A team of young superheroes combat evil and other perils.,45,"Action, Adventure, Crime","Brenton Thwaites, Teagan Croft, Anna Diop, Ryan Potter",7.7,70823,I 2018– 
For All Mankind,"In an alternative version of 1969, the Soviet Union beats the United States to the Moon, and the space race continues on for decades with still grander challenges and goals.",60,"Drama, Sci-Fi","Joel Kinnaman, Michael Dorman, Sarah Jones, Shantel VanSanten",7.8,20425,2019– 
Station 19,"This spinoff of the critically acclaimed show Grey's Anatomy follows the lives of the men and women of firehouse station 19 in Seattle, Washington.",60,"Action, Drama, Romance","Jaina Lee Ortiz, Jason George, Grey Damon, Barrett Doss",6.7,9717,2018– 
Scrubs,"In the unreal world of Sacred Heart Hospital, intern John ""J.D."" Dorian learns the ways of medicine, friendship and life.",22,"Comedy, Drama","Zach Braff, Donald Faison, Sarah Chalke, John C. McGinley",8.3,240695,2001–2010
The Morning Show,"An inside look at the lives of the people who help America wake up in the morning, exploring the unique challenges faced by the men and women who carry out this daily televised ritual.",60,Drama,"Jennifer Aniston, Reese Witherspoon, Billy Crudup, Gugu Mbatha-Raw",8.4,59315,I 2019– 
Two and a Half Men,A hedonistic jingle writer's free-wheeling life comes to an abrupt halt when his brother and 10-year-old nephew move into his beach-front house.,22,"Comedy, Romance","Jon Cryer, Ashton Kutcher, Angus T. Jones, Conchata Ferrell",7.0,245102,2003–2015
Star Wars: The Clone Wars,Jedi Knights lead the Grand Army of the Republic against the droid army of the Separatists.,23,"Animation, Action, Adventure","Tom Kane, Dee Bradley Baker, Matt Lanter, James Arnold Taylor",8.3,69586,2008–2020
Once Upon a Time,A young woman with a troubled past is drawn to a small town in Maine where fairy tales are to be believed.,60,"Adventure, Fantasy, Romance","Ginnifer Goodwin, Jennifer Morrison, Lana Parrilla, Robert Carlyle",7.7,211260,2011–2018
Happy Endings,"This Chicago-set sitcom follows the intertwined lives of six young urbanites trying to learn the ropes of adulthood. Through breakups and whatever other curve-balls life throws them, the pals stick together.",22,"Comedy, Romance","Eliza Coupe, Elisha Cuthbert, Zachary Knighton, Adam Pally",7.7,34985,2011–2020
Orange Is the New Black,"Convicted of a decade old crime of transporting drug money to an ex-girlfriend, normally law-abiding Piper Chapman is sentenced to a year and a half behind bars to face the reality of how life-changing prison can really be.",59,"Comedy, Crime, Drama","Taylor Schilling, Danielle Brooks, Taryn Manning, Emma Myles",8.0,282708,2013–2019
Batwoman,Batwoman seeks justice for Gotham City.,45,"Action, Adventure, Crime","Camrus Johnson, Rachel Skarsten, Meagan Tandy, Nicole Kang",3.4,35252,2019– 
